accel,battery,light,lock,noti_pendding,noti_posted,noti_removed,proximity,ringer,screen_on,state,timestamp,unlock_duration
95328.0,3.0,64.0,3145627.0,0.0,2446834.0,2249797.0,5.0,2.0,0.0,1.0,1463903199648.0,113525.0
105328.0,3.0,64.0,3155627.0,0.0,2456834.0,2259797.0,5.0,2.0,0.0,1.0,1463903209648.0,113525.0
115328.0,3.0,50.0,3165627.0,0.0,2466834.0,2269797.0,5.0,2.0,0.0,1.0,1463903219648.0,113525.0
125328.0,3.0,52.0,3175627.0,0.0,2476834.0,2279797.0,5.0,2.0,0.0,1.0,1463903229648.0,113525.0
135328.0,3.0,43.0,3185627.0,0.0,2486834.0,2289797.0,5.0,2.0,0.0,1.0,1463903239648.0,113525.0
145328.0,3.0,35.0,3195627.0,0.0,2496834.0,2299797.0,5.0,2.0,0.0,1.0,1463903249648.0,113525.0
155328.0,3.0,12.0,3205627.0,0.0,2506834.0,2309797.0,5.0,2.0,0.0,1.0,1463903259648.0,113525.0
165328.0,3.0,11.0,3215627.0,0.0,2516834.0,2319797.0,5.0,2.0,0.0,1.0,1463903269648.0,113525.0
4357.0,3.0,32.0,3225627.0,0.0,2526834.0,2329797.0,5.0,2.0,0.0,1.0,1463903279648.0,113525.0
2830.0,3.0,32.0,3235627.0,0.0,2536834.0,2339797.0,5.0,2.0,0.0,1.0,1463903289648.0,113525.0
7708.0,3.0,28.0,3245627.0,0.0,2546834.0,2349797.0,5.0,2.0,0.0,1.0,1463903299648.0,113525.0
17708.0,3.0,46.0,3255627.0,0.0,2556834.0,2359797.0,5.0,2.0,0.0,1.0,1463903309648.0,113525.0
27708.0,3.0,39.0,3265627.0,0.0,2566834.0,2369797.0,5.0,2.0,0.0,1.0,1463903319648.0,113525.0
2904.0,3.0,38.0,3275627.0,0.0,2576834.0,2379797.0,5.0,2.0,0.0,1.0,1463903329648.0,113525.0
5418.0,3.0,66.0,3285627.0,0.0,2586834.0,2389797.0,5.0,2.0,0.0,1.0,1463903339648.0,113525.0
15418.0,3.0,54.0,3295627.0,0.0,2596834.0,2399797.0,5.0,2.0,0.0,1.0,1463903349648.0,113525.0
6566.0,3.0,21.0,3305627.0,0.0,2606834.0,2409797.0,5.0,2.0,0.0,1.0,1463903359648.0,113525.0
2074.0,3.0,10.0,3315627.0,0.0,2616834.0,2419797.0,5.0,2.0,0.0,1.0,1463903369648.0,113525.0
2287.0,3.0,43.0,3325627.0,0.0,2626834.0,2429797.0,5.0,2.0,0.0,1.0,1463903379648.0,113525.0
12287.0,3.0,28.0,3335627.0,0.0,2636834.0,2439797.0,5.0,2.0,0.0,1.0,1463903389648.0,113525.0
5973.0,3.0,27.0,3345627.0,0.0,2646834.0,2449797.0,5.0,2.0,0.0,1.0,1463903399648.0,113525.0
15973.0,3.0,45.0,3355627.0,0.0,2656834.0,2459797.0,5.0,2.0,0.0,1.0,1463903409648.0,113525.0
25973.0,3.0,52.0,3365627.0,0.0,2666834.0,2469797.0,5.0,2.0,0.0,1.0,1463903419648.0,113525.0
35973.0,3.0,34.0,3375627.0,0.0,2676834.0,2479797.0,5.0,2.0,0.0,1.0,1463903429648.0,113525.0
45973.0,3.0,12.0,3385627.0,0.0,2686834.0,2489797.0,5.0,2.0,0.0,1.0,1463903439648.0,113525.0
55973.0,3.0,37.0,3395627.0,0.0,2696834.0,2499797.0,5.0,2.0,0.0,1.0,1463903449648.0,113525.0
65973.0,3.0,51.0,3405627.0,0.0,2706834.0,2509797.0,5.0,2.0,0.0,1.0,1463903459648.0,113525.0
75973.0,3.0,33.0,3415627.0,0.0,2716834.0,2519797.0,5.0,2.0,0.0,1.0,1463903469648.0,113525.0
85973.0,3.0,11.0,3425627.0,0.0,2726834.0,2529797.0,5.0,2.0,0.0,1.0,1463903479648.0,113525.0
95973.0,3.0,27.0,3435627.0,0.0,2736834.0,2539797.0,5.0,2.0,0.0,1.0,1463903489648.0,113525.0
105973.0,3.0,40.0,3445627.0,0.0,2746834.0,2549797.0,5.0,2.0,0.0,1.0,1463903499648.0,113525.0
115973.0,3.0,42.0,3455627.0,0.0,2756834.0,2559797.0,5.0,2.0,0.0,1.0,1463903509648.0,113525.0
125973.0,3.0,30.0,3465627.0,0.0,2766834.0,2569797.0,5.0,2.0,0.0,1.0,1463903519648.0,113525.0
135973.0,3.0,43.0,3475627.0,0.0,2776834.0,2579797.0,5.0,2.0,0.0,1.0,1463903529648.0,113525.0
145973.0,3.0,57.0,3485627.0,0.0,2786834.0,2589797.0,5.0,2.0,0.0,1.0,1463903539648.0,113525.0
155973.0,3.0,32.0,3495627.0,0.0,2796834.0,2599797.0,5.0,2.0,0.0,1.0,1463903549648.0,113525.0
